model,seed,attack,mcc,auroc,attack_recall
Attention-LSTM,23,daily_flattening,-0.0784348521245653,0.3274725274725275,0.06666666666666667
Attention-LSTM,23,noise,-0.05572409401803959,0.33058608058608063,0.08333333333333333
Attention-LSTM,23,partial_zeroing,0.5047583866340553,0.8608058608058609,0.7222222222222222
Attention-LSTM,23,peak_clipping,0.19327783587126707,0.6271585557299842,0.35714285714285715
Attention-LSTM,23,reversal,-0.04818120558297158,0.4956043956043955,0.1
Attention-LSTM,23,scaled_reduction,0.47527870864351884,0.7838827838827839,0.75
Attention-LSTM,37,daily_flattening,-0.038461538461538464,0.29591836734693877,0.21428571428571427
Attention-LSTM,37,noise,-0.0461747325729287,0.4910352805089647,0.21052631578947367
Attention-LSTM,37,partial_zeroing,0.03912292895129707,0.7637362637362637,0.3125
Attention-LSTM,37,peak_clipping,0.16683467872594968,0.7078754578754578,0.5
Attention-LSTM,37,reversal,-0.05098676986156824,0.47692307692307695,0.2
Attention-LSTM,37,scaled_reduction,0.30087815483526853,0.7809523809523808,0.6666666666666666
Attention-LSTM,53,daily_flattening,-0.11065666703449763,0.31445477599323757,0.07692307692307693
Attention-LSTM,53,noise,0.14007407007919057,0.570054945054945,0.375
Attention-LSTM,53,partial_zeroing,0.18793144676203896,0.8653846153846154,0.5
Attention-LSTM,53,peak_clipping,0.12446597791781062,0.6729153199741436,0.35294117647058826
Attention-LSTM,53,reversal,-0.09957513036225712,0.41873915558126085,0.10526315789473684
Attention-LSTM,53,scaled_reduction,0.33446778406531075,0.8247863247863247,0.6111111111111112
Attention-LSTM,71,daily_flattening,-0.14165539998607804,0.3602825745682888,0.21428571428571427
Attention-LSTM,71,noise,-0.004297548839972763,0.5158371040723981,0.4117647058823529
Attention-LSTM,71,partial_zeroing,0.05661385170722979,0.6821036106750392,0.5
Attention-LSTM,71,peak_clipping,0.18255958165266709,0.6720202874049028,0.6923076923076923
Attention-LSTM,71,reversal,-0.0918538373239209,0.42016806722689076,0.29411764705882354
Attention-LSTM,71,scaled_reduction,0.059368588718972416,0.7149725274725275,0.5
Attention-LSTM,89,daily_flattening,-0.06091942599848962,0.5208791208791208,0.75
Attention-LSTM,89,noise,-0.07214791053658226,0.4794679005205321,0.7368421052631579
Attention-LSTM,89,partial_zeroing,0.18223949410386656,0.8701923076923077,1.0
Attention-LSTM,89,peak_clipping,0.09606506961737249,0.5350803043110736,0.9230769230769231
Attention-LSTM,89,reversal,-0.18648307791155452,0.22893772893772896,0.5
Attention-LSTM,89,scaled_reduction,0.18681318681318682,0.755656108597285,1.0
Attention-LSTM,107,daily_flattening,-0.16772557387550693,0.2458791208791209,0.0
Attention-LSTM,107,noise,0.11561853230868585,0.6664835164835166,0.4
Attention-LSTM,107,partial_zeroing,0.4810376017052275,0.7752247752247753,1.0
Attention-LSTM,107,peak_clipping,0.07253139007264661,0.5746606334841629,0.35294117647058826
Attention-LSTM,107,reversal,-0.06259150810171366,0.47046703296703296,0.1875
Attention-LSTM,107,scaled_reduction,0.3364144347892721,0.6778484673221514,0.6842105263157895
Attention-LSTM,131,daily_flattening,-0.1310356045902398,0.37362637362637363,0.0
Attention-LSTM,131,noise,0.2287237822097536,0.6323676323676324,0.36363636363636365
